ANIO,COMUNA,SEXO,POBLACION
2010,1,AMBOS,243946
2011,1,AMBOS,245308
2012,1,AMBOS,246689
2013,1,AMBOS,248069
2014,1,AMBOS,249433
2015,1,AMBOS,250770
2016,1,AMBOS,252053
2017,1,AMBOS,253271
2018,1,AMBOS,254408
2019,1,AMBOS,255457
2020,1,AMBOS,256405
2021,1,AMBOS,257235
2010,2,AMBOS,150714
2011,2,AMBOS,150573
2012,2,AMBOS,150428
2013,2,AMBOS,150278
2014,2,AMBOS,150130
2015,2,AMBOS,149985
2016,2,AMBOS,149848
2017,2,AMBOS,149720
2018,2,AMBOS,149607
2019,2,AMBOS,149510
2020,2,AMBOS,149430
2021,2,AMBOS,149371
2010,3,AMBOS,191323
2011,3,AMBOS,191536
2012,3,AMBOS,191750
2013,3,AMBOS,191963
2014,3,AMBOS,192171
2015,3,AMBOS,192375
2016,3,AMBOS,192573
2017,3,AMBOS,192763
2018,3,AMBOS,192945
2019,3,AMBOS,193115
2020,3,AMBOS,193276
2021,3,AMBOS,193425
2010,4,AMBOS,234933
2011,4,AMBOS,235497
2012,4,AMBOS,236071
2013,4,AMBOS,236646
2014,4,AMBOS,237214
2015,4,AMBOS,237769
2016,4,AMBOS,238303
2017,4,AMBOS,238809
2018,4,AMBOS,239279
2019,4,AMBOS,239712
2020,4,AMBOS,240100
2021,4,AMBOS,240437
2010,5,AMBOS,185301
2011,5,AMBOS,185544
2012,5,AMBOS,185789
2013,5,AMBOS,186034
2014,5,AMBOS,186276
2015,5,AMBOS,186512
2016,5,AMBOS,186740
2017,5,AMBOS,186956
2018,5,AMBOS,187159
2019,5,AMBOS,187348
2020,5,AMBOS,187518
2021,5,AMBOS,187670
2010,6,AMBOS,183046
2011,6,AMBOS,183309
2012,6,AMBOS,183576
2013,6,AMBOS,183843
2014,6,AMBOS,184105
2015,6,AMBOS,184363
2016,6,AMBOS,184611
2017,6,AMBOS,184846
2018,6,AMBOS,185067
2019,6,AMBOS,185271
2020,6,AMBOS,185456
2021,6,AMBOS,185620
2010,7,AMBOS,236838
2011,7,AMBOS,237389
2012,7,AMBOS,237946
2013,7,AMBOS,238505
2014,7,AMBOS,239057
2015,7,AMBOS,239597
2016,7,AMBOS,240116
2017,7,AMBOS,240607
2018,7,AMBOS,241065
2019,7,AMBOS,241484
2020,7,AMBOS,241861
2021,7,AMBOS,242188
2010,8,AMBOS,219638
2011,8,AMBOS,220655
2012,8,AMBOS,221693
2013,8,AMBOS,222733
2014,8,AMBOS,223764
2015,8,AMBOS,224770
2016,8,AMBOS,225737
2017,8,AMBOS,226649
2018,8,AMBOS,227495
2019,8,AMBOS,228266
2020,8,AMBOS,228953
2021,8,AMBOS,229541
2010,9,AMBOS,168681
2011,9,AMBOS,168964
2012,9,AMBOS,169248
2013,9,AMBOS,169533
2014,9,AMBOS,169814
2015,9,AMBOS,170087
2016,9,AMBOS,170353
2017,9,AMBOS,170605
2018,9,AMBOS,170842
2019,9,AMBOS,171062
2020,9,AMBOS,171264
2021,9,AMBOS,171444
2010,10,AMBOS,169372
2011,10,AMBOS,169506
2012,10,AMBOS,169640
2013,10,AMBOS,169775
2014,10,AMBOS,169908
2015,10,AMBOS,170037
2016,10,AMBOS,170163
2017,10,AMBOS,170282
2018,10,AMBOS,170394
2019,10,AMBOS,170497
2020,10,AMBOS,170592
2021,10,AMBOS,170677
2010,11,AMBOS,189760
2011,11,AMBOS,189795
2012,11,AMBOS,189829
2013,11,AMBOS,189861
2014,11,AMBOS,189893
2015,11,AMBOS,189925
2016,11,AMBOS,189956
2017,11,AMBOS,189986
2018,11,AMBOS,190016
2019,11,AMBOS,190046
2020,11,AMBOS,190076
2021,11,AMBOS,190105
2010,12,AMBOS,211320
2011,12,AMBOS,211699
2012,12,AMBOS,212082
2013,12,AMBOS,212467
2014,12,AMBOS,212846
2015,12,AMBOS,213218
2016,12,AMBOS,213576
2017,12,AMBOS,213914
2018,12,AMBOS,214229
2019,12,AMBOS,214518
2020,12,AMBOS,214777
2021,12,AMBOS,215002
2010,13,AMBOS,234846
2011,13,AMBOS,235011
2012,13,AMBOS,235178
2013,13,AMBOS,235342
2014,13,AMBOS,235506
2015,13,AMBOS,235666
2016,13,AMBOS,235819
2017,13,AMBOS,235967
2018,13,AMBOS,236107
2019,13,AMBOS,236238
2020,13,AMBOS,236358
2021,13,AMBOS,236468
2010,14,AMBOS,226489
2011,14,AMBOS,226558
2012,14,AMBOS,226626
2013,14,AMBOS,226692
2014,14,AMBOS,226758
2015,14,AMBOS,226821
2016,14,AMBOS,226884
2017,14,AMBOS,226944
2018,14,AMBOS,227003
2019,14,AMBOS,227060
2020,14,AMBOS,227115
2021,14,AMBOS,227168
2010,15,AMBOS,182274
2011,15,AMBOS,182295
2012,15,AMBOS,182315
2013,15,AMBOS,182335
2014,15,AMBOS,182354
2015,15,AMBOS,182372
2016,15,AMBOS,182390
2017,15,AMBOS,182409
2018,15,AMBOS,182427
2019,15,AMBOS,182445
2020,15,AMBOS,182465
2021,15,AMBOS,182485
2010,1,MASCULINO,117622
2011,1,MASCULINO,118720
2012,1,MASCULINO,119819
2013,1,MASCULINO,120907
2014,1,MASCULINO,121979
2015,1,MASCULINO,123030
2016,1,MASCULINO,124045
2017,1,MASCULINO,125021
2018,1,MASCULINO,125950
2019,1,MASCULINO,126828
2020,1,MASCULINO,127651
2021,1,MASCULINO,128410
2010,2,MASCULINO,67160
2011,2,MASCULINO,67110
2012,2,MASCULINO,67061
2013,2,MASCULINO,67011
2014,2,MASCULINO,66963
2015,2,MASCULINO,66915
2016,2,MASCULINO,66870
2017,2,MASCULINO,66825
2018,2,MASCULINO,66783
2019,2,MASCULINO,66744
2020,2,MASCULINO,66707
2021,2,MASCULINO,66672
2010,3,MASCULINO,89373
2011,3,MASCULINO,89585
2012,3,MASCULINO,89797
2013,3,MASCULINO,90008
2014,3,MASCULINO,90215
2015,3,MASCULINO,90417
2016,3,MASCULINO,90614
2017,3,MASCULINO,90802
2018,3,MASCULINO,90982
2019,3,MASCULINO,91151
2020,3,MASCULINO,91310
2021,3,MASCULINO,91457
2010,4,MASCULINO,110956
2011,4,MASCULINO,111394
2012,4,MASCULINO,111832
2013,4,MASCULINO,112267
