ID;N_VICTIMAS;FECHA;HORA;TIPO_DE_CALLE;COMUNA;POS_X;POS_Y;ACUSADO
2016-0001;1;2016-01-01;4;AVENIDA;8;-58.4753;-34.6876;AUTO
2016-0002;1;2016-01-02;1;GRAL PAZ;9;-58.5088;-34.6698;PASAJEROS
2016-0003;1;2016-01-03;7;AVENIDA;1;-58.3904;-34.6319;AUTO
2016-0004;1;2016-01-10;0;AVENIDA;8;-58.465;-34.6809;SD
2016-0005;1;2016-01-21;5;AVENIDA;1;-58.3872;-34.6225;PASAJEROS
2016-0008;1;2016-01-24;18;AVENIDA;8;-58.4445;-34.6848;OBJETO FIJO
2016-0009;1;2016-01-24;19;CALLE;11;-58.501;-34.6083;AUTO
2016-0010;1;2016-01-29;15;GRAL PAZ;9;-58.5088;-34.6698;AUTO
2016-0012;1;2016-02-08;1;AVENIDA;1;-58.3805;-34.613;CARGAS
2016-0013;1;2016-02-10;11;AVENIDA;1;-58.3911;-34.6248;AUTO
2016-0015;1;2016-02-14;5;AVENIDA;15;-58.4376;-34.5991;AUTO
2016-0016;1;2016-02-14;22;AVENIDA;4;-58.3688;-34.6429;AUTO
2016-0017;1;2016-02-15;16;AVENIDA;8;-58.4499;-34.6597;MOTO
2016-0019;1;2016-02-17;9;CALLE;9;-58.5099;-34.6547;PASAJEROS
2016-0020;1;2016-02-17;16;CALLE;1;-58.3795;-34.6065;AUTO
2016-0021;1;2016-02-17;23;AVENIDA;7;-58.4516;-34.6306;AUTO
2016-0022;1;2016-02-21;6;AVENIDA;1;-58.3814;-34.6108;AUTO
2016-0025;1;2016-02-28;4;GRAL PAZ;8;-58.4624;-34.7052;AUTO
2016-0026;1;2016-02-28;7;CALLE;12;-58.4922;-34.5474;OBJETO FIJO
2016-0027;1;2016-02-28;9;AVENIDA;7;-58.445;-34.6385;AUTO
2016-0028;1;2016-03-02;10;AVENIDA;1;-58.382;-34.6003;CARGAS
2016-0029;1;2016-03-04;17;AVENIDA;12;-58.4738;-34.5415;PASAJEROS
2016-0031;1;2016-03-08;12;GRAL PAZ;8;-58.4706;-34.6984;PASAJEROS
2016-0034;1;2016-03-12;12;AVENIDA;4;-58.4062;-34.6508;PASAJEROS
2016-0035;1;2016-03-13;6;AVENIDA;3;-58.3923;-34.6044;PASAJEROS
2016-0036;1;2016-03-14;0;CALLE;4;-58.3781;-34.6367;PASAJEROS
2016-0037;1;2016-03-19;11;AVENIDA;7;-58.4628;-34.6436;MOTO
2016-0038;1;2016-03-21;8;GRAL PAZ;8;-58.4968;-34.6789;PASAJEROS
2016-0039;1;2016-03-23;1;AVENIDA;3;-58.406;-34.6088;PASAJEROS
2016-0041;2;2016-03-29;11;AVENIDA;7;-58.4608;-34.6335;CARGAS
2016-0043;1;2016-03-30;18;AVENIDA;8;-58.4783;-34.6749;CARGAS
2016-0044;1;2016-03-31;19;AVENIDA;7;-58.4321;-34.6369;MULTIPLE
2016-0045;1;2016-04-11;10;GRAL PAZ;13;-58.4674;-34.5348;SD
2016-0047;1;2016-04-15;5;CALLE;1;-58.3825;-34.6257;PASAJEROS
2016-0048;1;2016-04-15;17;AVENIDA;15;-58.4476;-34.5917;PASAJEROS
2016-0049;1;2016-04-17;0;AUTOPISTA;4;-58.3771;-34.6366;SD
2016-0050;1;2016-04-19;9;AVENIDA;8;-58.4731;-34.6855;PASAJEROS
2016-0051;1;2016-04-20;4;AVENIDA;4;-58.4062;-34.6508;CARGAS
2016-0052;1;2016-04-20;20;AUTOPISTA;13;-58.4411;-34.5484;SD
2016-0053;1;2016-04-22;9;AVENIDA;12;-58.4843;-34.5756;PASAJEROS
2016-0054;1;2016-04-23;21;AUTOPISTA;8;-58.487;-34.688;MOTO
2016-0055;1;2016-04-25;20;AVENIDA;14;-58.4002;-34.5796;CARGAS
2016-0056;1;2016-04-26;4;AVENIDA;14;-58.4296;-34.5766;OBJETO FIJO
2016-0058;1;2016-05-04;14;CALLE;1;-58.3825;-34.6256;MOTO
2016-0059;1;2016-05-08;16;CALLE;1;-58.3822;-34.6273;PASAJEROS
2016-0064;1;2016-05-14;18;AVENIDA;10;-58.4949;-34.6295;PASAJEROS
2016-0065;1;2016-05-20;14;AVENIDA;6;-58.4523;-34.6107;AUTO
2016-0067;1;2016-05-21;17;AVENIDA;8;-58.4846;-34.6751;PASAJEROS
2016-0068;1;2016-05-22;22;AVENIDA;2;-58.3906;-34.5842;PASAJEROS
2016-0069;1;2016-05-23;3;AVENIDA;3;-58.3912;-34.627;CARGAS
2016-0073;1;2016-06-11;15;CALLE;10;-58.4902;-34.6203;CARGAS
2016-0074;1;2016-06-12;6;GRAL PAZ;8;-58.499;-34.6773;AUTO
2016-0075;1;2016-06-12;23;AUTOPISTA;8;-58.4746;-34.6687;AUTO
2016-0076;1;2016-06-13;16;AVENIDA;15;-58.4621;-34.6036;PASAJEROS
2016-0077;1;2016-06-13;21;AVENIDA;1;-58.3703;-34.6054;PASAJEROS
2016-0078;1;2016-06-13;23;AVENIDA;3;-58.4049;-34.6146;MOTO
2016-0079;1;2016-06-16;17;AVENIDA;13;-58.455;-34.5486;AUTO
2016-0080;1;2016-06-18;6;GRAL PAZ;9;-58.5293;-34.6393;SD
2016-0081;1;2016-06-22;7;AVENIDA;12;-58.4872;-34.559;AUTO
2016-0082;1;2016-06-27;18;AVENIDA;4;-58.4227;-34.6423;AUTO
2016-0083;1;2016-06-28;20;AVENIDA;6;-58.4479;-34.6254;MOTO
2016-0084;1;2016-06-29;22;CALLE;1;-58.3811;-34.6014;PASAJEROS
2016-0085;1;2016-06-29;22;AVENIDA;4;-58.4238;-34.6573;OTRO
2016-0086;1;2016-06-30;16;AVENIDA;10;-58.4873;-34.6365;PASAJEROS
2016-0087;1;2016-07-02;0;AUTOPISTA;1;-58.3786;-34.6291;OBJETO FIJO
2016-0088;1;2016-07-11;15;CALLE;12;-58.5015;-34.5677;AUTO
2016-0089;1;2016-07-14;6;AUTOPISTA;13;-58.4323;-34.5519;AUTO
2016-0090;1;2016-07-14;22;AVENIDA;5;-58.4197;-34.6111;PASAJEROS
2016-0092;1;2016-07-15;11;GRAL PAZ;13;-58.4674;-34.5348;CARGAS
2016-0093;1;2016-07-17;3;AVENIDA;6;-58.4436;-34.623;AUTO
2016-0095;1;2016-07-23;6;AVENIDA;11;-58.5171;-34.5955;AUTO
2016-0096;1;2016-07-25;7;AUTOPISTA;8;-58.4743;-34.6669;CARGAS
2016-0097;1;2016-07-26;18;CALLE;1;-58.3904;-34.6156;AUTO
2016-0098;1;2016-07-27;16;AVENIDA;3;-58.4004;-34.6236;CARGAS
2016-0099;1;2016-07-29;16;GRAL PAZ;11;-58.5234;-34.598;CARGAS
2016-0100;1;2016-08-03;23;GRAL PAZ;12;-58.4949;-34.548;OBJETO FIJO
2016-0101;1;2016-08-07;19;GRAL PAZ;9;-58.5293;-34.6502;SD
2016-0102;1;2016-08-10;23;AVENIDA;9;-58.5001;-34.6732;CARGAS
2016-0104;1;2016-08-14;21;AVENIDA;9;-58.4664;-34.6562;PASAJEROS
2016-0105;1;2016-08-17;0;AVENIDA;15;-58.4534;-34.5844;PASAJEROS
2016-0106;1;2016-08-19;21;AVENIDA;1;-58.3809;-34.5893;PASAJEROS
2016-0107;1;2016-08-20;8;AUTOPISTA;4;-58.3716;-34.6543;AUTO
2016-0109;1;2016-08-24;5;AUTOPISTA;9;-58.5228;-34.6366;OBJETO FIJO
2016-0110;1;2016-08-24;20;AVENIDA;9;-58.5123;-34.659;SD
2016-0111;1;2016-08-25;9;AUTOPISTA;15;-58.4746;-34.5766;CARGAS
2016-0112;1;2016-08-27;4;AUTOPISTA;1;-58.3827;-34.6228;OBJETO FIJO
2016-0113;1;2016-08-27;16;AVENIDA;9;-58.496;-34.6456;PASAJEROS
2016-0114;1;2016-08-31;11;CALLE;14;-58.4185;-34.5939;CARGAS
2016-0115;1;2016-09-02;11;CALLE;12;-58.4893;-34.5492;CARGAS
2016-0116;1;2016-09-02;20;AVENIDA;8;-58.4445;-34.6848;AUTO
