VICTIMAS_ID,ID,VICTIMA,SEXO,EDAD,ROL
1,2016-0001,MOTO,MASCULINO,19.0,CONDUCTOR
2,2016-0002,AUTO,MASCULINO,70.0,CONDUCTOR
3,2016-0003,MOTO,MASCULINO,30.0,CONDUCTOR
4,2016-0004,MOTO,MASCULINO,18.0,CONDUCTOR
5,2016-0005,MOTO,MASCULINO,29.0,CONDUCTOR
6,2016-0008,MOTO,MASCULINO,30.0,CONDUCTOR
7,2016-0009,MOTO,MASCULINO,29.0,PASAJERO_ACOMPAÑANTE
8,2016-0010,MOTO,MASCULINO,18.0,CONDUCTOR
9,2016-0012,MOTO,MASCULINO,22.0,CONDUCTOR
10,2016-0013,PEATON,MASCULINO,16.0,PEATON
11,2016-0015,PEATON,FEMENINO,16.0,PEATON
12,2016-0016,MOTO,FEMENINO,19.0,PASAJERO_ACOMPAÑANTE
13,2016-0017,PEATON,MASCULINO,59.0,PEATON
14,2016-0019,PEATON,FEMENINO,65.0,PEATON
15,2016-0020,PEATON,MASCULINO,59.0,PEATON
16,2016-0021,AUTO,MASCULINO,34.0,CONDUCTOR
17,2016-0022,MOTO,MASCULINO,41.0,PASAJERO_ACOMPAÑANTE
18,2016-0025,AUTO,MASCULINO,34.0,PASAJERO_ACOMPAÑANTE
19,2016-0026,AUTO,MASCULINO,30.0,CONDUCTOR
20,2016-0027,AUTO,MASCULINO,34.0,PASAJERO_ACOMPAÑANTE
21,2016-0028,PEATON,MASCULINO,50.0,PEATON
22,2016-0029,PEATON,MASCULINO,38.0,PEATON
23,2016-0031,MOTO,MASCULINO,21.0,CONDUCTOR
24,2016-0034,PEATON,MASCULINO,52.0,PEATON
25,2016-0035,MOTO,MASCULINO,34.0,CONDUCTOR
26,2016-0036,MOTO,MASCULINO,36.0,PASAJERO_ACOMPAÑANTE
27,2016-0037,MOTO,MASCULINO,20.0,CONDUCTOR
28,2016-0038,PEATON,MASCULINO,29.0,PEATON
29,2016-0039,MOTO,MASCULINO,20.0,CONDUCTOR
30,2016-0041,MOTO,MASCULINO,54.0,CONDUCTOR
31,2016-0041,MOTO,MASCULINO,,PASAJERO_ACOMPAÑANTE
32,2016-0043,PEATON,FEMENINO,56.0,PEATON
33,2016-0044,MOTO,MASCULINO,24.0,CONDUCTOR
34,2016-0045,MOTO,MASCULINO,,CONDUCTOR
35,2016-0047,PEATON,MASCULINO,41.0,PEATON
36,2016-0048,PEATON,FEMENINO,,PEATON
37,2016-0049,SD,SD,,SD
38,2016-0050,PEATON,MASCULINO,78.0,PEATON
39,2016-0051,MOTO,MASCULINO,36.0,CONDUCTOR
40,2016-0052,MOTO,SD,,SD
41,2016-0053,PEATON,MASCULINO,38.0,PEATON
42,2016-0054,MOTO,MASCULINO,30.0,CONDUCTOR
43,2016-0055,PEATON,MASCULINO,79.0,PEATON
44,2016-0056,MOTO,MASCULINO,26.0,CONDUCTOR
45,2016-0058,PEATON,FEMENINO,57.0,PEATON
46,2016-0059,PEATON,MASCULINO,37.0,PEATON
47,2016-0064,PEATON,MASCULINO,20.0,PEATON
48,2016-0065,PEATON,MASCULINO,20.0,PEATON
49,2016-0067,MOTO,FEMENINO,30.0,PASAJERO_ACOMPAÑANTE
50,2016-0068,MOTO,MASCULINO,58.0,CONDUCTOR
51,2016-0069,AUTO,MASCULINO,30.0,CONDUCTOR
52,2016-0073,MOTO,MASCULINO,23.0,CONDUCTOR
53,2016-0074,AUTO,MASCULINO,60.0,CONDUCTOR
54,2016-0075,PEATON,MASCULINO,42.0,PEATON
55,2016-0076,PEATON,FEMENINO,53.0,PEATON
56,2016-0077,PEATON,FEMENINO,,PEATON
57,2016-0078,MOTO,MASCULINO,30.0,CONDUCTOR
58,2016-0079,AUTO,FEMENINO,51.0,CONDUCTOR
59,2016-0080,AUTO,MASCULINO,60.0,CONDUCTOR
60,2016-0081,MOTO,MASCULINO,40.0,CONDUCTOR
61,2016-0082,PEATON,MASCULINO,87.0,PEATON
62,2016-0083,PEATON,FEMENINO,76.0,PEATON
63,2016-0084,PEATON,MASCULINO,57.0,PEATON
64,2016-0085,MOTO,MASCULINO,,SD
65,2016-0086,PEATON,MASCULINO,75.0,PEATON
66,2016-0087,MOTO,MASCULINO,23.0,CONDUCTOR
67,2016-0088,PEATON,FEMENINO,70.0,PEATON
68,2016-0089,PEATON,MASCULINO,35.0,PEATON
69,2016-0090,PEATON,MASCULINO,60.0,PEATON
70,2016-0092,MOTO,MASCULINO,24.0,CONDUCTOR
71,2016-0093,AUTO,MASCULINO,35.0,CONDUCTOR
72,2016-0095,MOTO,MASCULINO,29.0,CONDUCTOR
73,2016-0096,MOTO,MASCULINO,,CONDUCTOR
74,2016-0097,PEATON,MASCULINO,80.0,PEATON
75,2016-0098,MOTO,FEMENINO,43.0,CONDUCTOR
76,2016-0099,CARGAS,MASCULINO,45.0,CONDUCTOR
77,2016-0100,MOTO,MASCULINO,57.0,CONDUCTOR
78,2016-0101,SD,MASCULINO,67.0,SD
79,2016-0102,MOTO,MASCULINO,29.0,CONDUCTOR
80,2016-0104,MOTO,MASCULINO,21.0,CONDUCTOR
81,2016-0105,PEATON,MASCULINO,19.0,PEATON
82,2016-0106,PEATON,MASCULINO,38.0,PEATON
83,2016-0107,MOTO,MASCULINO,21.0,CONDUCTOR
