ID,FECHA,AÑO,MES,HORA,pos x,pos y,TIPO_DE_CALLE,COMUNA,VICTIMA,ACUSADO,N_VICTIMAS,ROL,SEXO,EDAD
2016-0001,2016-01-01,2016,1,04:00:00,-58.47533969,-34.68757022,AVENIDA,8,MOTO,AUTO,1,CONDUCTOR,MASCULINO,19
2016-0002,2016-01-02,2016,1,01:15:00,-58.50877521,-34.66977709,GRAL PAZ,9,AUTO,PASAJEROS,1,CONDUCTOR,MASCULINO,70
2016-0003,2016-01-03,2016,1,07:00:00,-58.39040293,-34.63189362,AVENIDA,1,MOTO,AUTO,1,CONDUCTOR,MASCULINO,30
2016-0004,2016-01-10,2016,1,00:00:00,-58.46503904,-34.68092974,AVENIDA,8,MOTO,SD,1,CONDUCTOR,MASCULINO,18
2016-0005,2016-01-21,2016,1,05:20:00,-58.38718297,-34.6224663,AVENIDA,1,MOTO,PASAJEROS,1,CONDUCTOR,MASCULINO,29
2016-0008,2016-01-24,2016,1,18:30:00,-58.44451316,-34.68475866,AVENIDA,8,MOTO,OBJETO FIJO,1,CONDUCTOR,MASCULINO,30
2016-0009,2016-01-24,2016,1,19:10:00,-58.50095869,-34.6082544,CALLE,11,MOTO,AUTO,1,PASAJERO_ACOMPAÑANTE,MASCULINO,29
2016-0010,2016-01-29,2016,1,15:20:00,-58.50877521,-34.66977709,GRAL PAZ,9,MOTO,AUTO,1,CONDUCTOR,MASCULINO,18
2016-0012,2016-02-08,2016,2,01:20:00,-58.38048577,-34.61303893,AVENIDA,1,MOTO,CARGAS,1,CONDUCTOR,MASCULINO,22
2016-0013,2016-02-10,2016,2,11:30:00,-58.39114932,-34.62477387,AVENIDA,1,PEATON,AUTO,1,PEATON,MASCULINO,16
2016-0015,2016-02-14,2016,2,05:14:00,-58.4376002,-34.59912758,AVENIDA,15,PEATON,AUTO,1,PEATON,FEMENINO,16
2016-0016,2016-02-14,2016,2,22:00:00,-58.36882665,-34.64291993,AVENIDA,4,MOTO,AUTO,1,PASAJERO_ACOMPAÑANTE,FEMENINO,19
2016-0017,2016-02-15,2016,2,16:54:00,-58.44989671,-34.65970435,AVENIDA,8,PEATON,MOTO,1,PEATON,MASCULINO,59
2016-0019,2016-02-17,2016,2,09:30:00,-58.50990884,-34.65468721,CALLE,9,PEATON,PASAJEROS,1,PEATON,FEMENINO,65
2016-0020,2016-02-17,2016,2,16:00:00,-58.37952223,-34.60653282,CALLE,1,PEATON,AUTO,1,PEATON,MASCULINO,59
2016-0021,2016-02-17,2016,2,23:35:00,-58.45157703,-34.63063795,AVENIDA,7,AUTO,AUTO,1,CONDUCTOR,MASCULINO,34
2016-0022,2016-02-21,2016,2,06:00:00,-58.38144696,-34.61079875,AVENIDA,1,MOTO,AUTO,1,PASAJERO_ACOMPAÑANTE,MASCULINO,41
2016-0025,2016-02-28,2016,2,04:50:00,-58.46244952,-34.70524971,GRAL PAZ,8,AUTO,AUTO,1,PASAJERO_ACOMPAÑANTE,MASCULINO,34
