Fecha,Año,Mes,Día,Hora,Comuna,Tipo de Calle,Tipo de Víctima,Sexo,Edad
2016-01-01,2016,1,1,04:00:00,8,AVENIDA,MOTO,MASCULINO,19.0
2016-01-02,2016,1,2,01:15:00,9,GRAL PAZ,AUTO,MASCULINO,70.0
2016-01-03,2016,1,3,07:00:00,1,AVENIDA,MOTO,MASCULINO,30.0
2016-01-10,2016,1,10,00:00:00,8,AVENIDA,MOTO,MASCULINO,18.0
2016-01-21,2016,1,21,05:20:00,1,AVENIDA,MOTO,MASCULINO,29.0
2016-01-24,2016,1,24,18:30:00,8,AVENIDA,MOTO,MASCULINO,30.0
2016-01-24,2016,1,24,19:10:00,11,CALLE,MOTO,MASCULINO,29.0
2016-01-29,2016,1,29,15:20:00,9,GRAL PAZ,MOTO,MASCULINO,18.0
2016-02-08,2016,2,8,01:20:00,1,AVENIDA,MOTO,MASCULINO,22.0
2016-02-10,2016,2,10,11:30:00,1,AVENIDA,PEATON,MASCULINO,16.0
2016-02-14,2016,2,14,05:14:00,15,AVENIDA,PEATON,FEMENINO,16.0
2016-02-14,2016,2,14,22:00:00,4,AVENIDA,MOTO,FEMENINO,19.0
2016-02-15,2016,2,15,16:54:00,8,AVENIDA,PEATON,MASCULINO,59.0
2016-02-17,2016,2,17,09:30:00,9,CALLE,PEATON,FEMENINO,65.0
2016-02-17,2016,2,17,16:00:00,1,CALLE,PEATON,MASCULINO,59.0
2016-02-17,2016,2,17,23:35:00,7,AVENIDA,AUTO,MASCULINO,34.0
2016-02-21,2016,2,21,06:00:00,1,AVENIDA,MOTO,MASCULINO,41.0
2016-02-28,2016,2,28,04:50:00,8,GRAL PAZ,AUTO,MASCULINO,34.0
2016-02-28,2016,2,28,07:30:00,12,CALLE,AUTO,MASCULINO,30.0
2016-02-28,2016,2,28,09:35:00,7,AVENIDA,AUTO,MASCULINO,34.0
2016-03-02,2016,3,2,10:00:00,1,AVENIDA,PEATON,MASCULINO,50.0
2016-03-04,2016,3,4,17:30:00,12,AVENIDA,PEATON,MASCULINO,38.0
2016-03-08,2016,3,8,12:30:00,8,GRAL PAZ,MOTO,MASCULINO,21.0
2016-03-12,2016,3,12,12:30:00,4,AVENIDA,PEATON,MASCULINO,52.0
2016-03-13,2016,3,13,06:00:00,3,AVENIDA,MOTO,MASCULINO,34.0
2016-03-14,2016,3,14,00:15:00,4,CALLE,MOTO,MASCULINO,36.0
2016-03-19,2016,3,19,11:00:00,7,AVENIDA,MOTO,MASCULINO,20.0
2016-03-21,2016,3,21,08:06:00,8,GRAL PAZ,PEATON,MASCULINO,29.0
2016-03-23,2016,3,23,01:50:00,3,AVENIDA,MOTO,MASCULINO,20.0
2016-03-29,2016,3,29,11:00:00,7,AVENIDA,MOTO,MASCULINO,54.0
2016-03-29,2016,3,29,11:00:00,7,AVENIDA,MOTO,MASCULINO,42.16716867469879
2016-03-30,2016,3,30,18:15:00,8,AVENIDA,PEATON,FEMENINO,56.0
2016-03-31,2016,3,31,19:40:00,7,AVENIDA,MOTO,MASCULINO,24.0
2016-04-11,2016,4,11,10:25:00,13,GRAL PAZ,MOTO,MASCULINO,42.16716867469879
2016-04-15,2016,4,15,05:30:00,1,CALLE,PEATON,MASCULINO,41.0
2016-04-15,2016,4,15,17:40:00,15,AVENIDA,PEATON,FEMENINO,42.16716867469879
2016-04-17,2016,4,17,00:00:00,4,AUTOPISTA,,,42.16716867469879
2016-04-19,2016,4,19,09:50:00,8,AVENIDA,PEATON,MASCULINO,78.0
2016-04-20,2016,4,20,04:00:00,4,AVENIDA,MOTO,MASCULINO,36.0
2016-04-20,2016,4,20,20:00:00,13,AUTOPISTA,MOTO,,42.16716867469879
2016-04-22,2016,4,22,09:30:00,12,AVENIDA,PEATON,MASCULINO,38.0
2016-04-23,2016,4,23,21:00:00,8,AUTOPISTA,MOTO,MASCULINO,30.0
2016-04-25,2016,4,25,20:30:00,14,AVENIDA,PEATON,MASCULINO,79.0
2016-04-26,2016,4,26,04:45:00,14,AVENIDA,MOTO,MASCULINO,26.0
2016-05-04,2016,5,4,14:00:00,1,CALLE,PEATON,FEMENINO,57.0
2016-05-08,2016,5,8,16:30:00,1,CALLE,PEATON,MASCULINO,37.0
2016-05-14,2016,5,14,18:11:00,10,AVENIDA,PEATON,MASCULINO,20.0
2016-05-20,2016,5,20,14:40:00,6,AVENIDA,PEATON,MASCULINO,20.0
2016-05-21,2016,5,21,17:00:00,8,AVENIDA,MOTO,FEMENINO,30.0
2016-05-22,2016,5,22,22:00:00,2,AVENIDA,MOTO,MASCULINO,58.0
2016-05-23,2016,5,23,03:30:00,3,AVENIDA,AUTO,MASCULINO,30.0
2016-06-11,2016,6,11,15:00:00,10,CALLE,MOTO,MASCULINO,23.0
2016-06-12,2016,6,12,06:40:00,8,GRAL PAZ,AUTO,MASCULINO,60.0
2016-06-12,2016,6,12,23:13:00,8,AUTOPISTA,PEATON,MASCULINO,42.0
2016-06-13,2016,6,13,16:20:00,15,AVENIDA,PEATON,FEMENINO,53.0
2016-06-13,2016,6,13,21:52:00,1,AVENIDA,PEATON,FEMENINO,42.16716867469879
2016-06-13,2016,6,13,23:01:00,3,AVENIDA,MOTO,MASCULINO,30.0
2016-06-16,2016,6,16,17:13:00,13,AVENIDA,AUTO,FEMENINO,51.0
2016-06-18,2016,6,18,06:42:00,9,GRAL PAZ,AUTO,MASCULINO,60.0
2016-06-22,2016,6,22,07:42:00,12,AVENIDA,MOTO,MASCULINO,40.0
2016-06-27,2016,6,27,18:24:00,4,AVENIDA,PEATON,MASCULINO,87.0
2016-06-28,2016,6,28,20:46:00,6,AVENIDA,PEATON,FEMENINO,76.0
2016-06-29,2016,6,29,22:00:00,1,CALLE,PEATON,MASCULINO,57.0
2016-06-29,2016,6,29,22:00:00,4,AVENIDA,MOTO,MASCULINO,42.16716867469879
2016-06-30,2016,6,30,16:10:00,10,AVENIDA,PEATON,MASCULINO,75.0
2016-07-11,2016,7,11,15:30:00,12,CALLE,PEATON,FEMENINO,70.0
2016-07-14,2016,7,14,06:40:00,13,AUTOPISTA,PEATON,MASCULINO,35.0
2016-07-14,2016,7,14,22:00:00,5,AVENIDA,PEATON,MASCULINO,60.0
2016-07-15,2016,7,15,11:00:00,13,GRAL PAZ,MOTO,MASCULINO,24.0
2016-07-17,2016,7,17,03:30:00,6,AVENIDA,AUTO,MASCULINO,35.0
2016-07-23,2016,7,23,06:12:00,11,AVENIDA,MOTO,MASCULINO,29.0
2016-07-25,2016,7,25,07:00:00,8,AUTOPISTA,MOTO,MASCULINO,42.16716867469879
2016-07-26,2016,7,26,18:45:00,1,CALLE,PEATON,MASCULINO,80.0
2016-07-27,2016,7,27,16:08:00,3,AVENIDA,MOTO,FEMENINO,43.0
2016-07-29,2016,7,29,16:00:00,11,GRAL PAZ,CARGAS,MASCULINO,45.0
2016-08-03,2016,8,3,23:27:00,12,GRAL PAZ,MOTO,MASCULINO,57.0
2016-08-07,2016,8,7,19:42:00,9,GRAL PAZ,,MASCULINO,67.0
2016-08-10,2016,8,10,23:37:00,9,AVENIDA,MOTO,MASCULINO,29.0
2016-08-14,2016,8,14,21:15:00,9,AVENIDA,MOTO,MASCULINO,21.0
2016-08-17,2016,8,17,00:05:00,15,AVENIDA,PEATON,MASCULINO,19.0
2016-08-19,2016,8,19,21:02:00,1,AVENIDA,PEATON,MASCULINO,38.0
2016-08-20,2016,8,20,08:22:00,4,AUTOPISTA,MOTO,MASCULINO,21.0
2016-08-24,2016,8,24,05:45:00,9,AUTOPISTA,AUTO,FEMENINO,53.0
2016-08-24,2016,8,24,20:21:00,9,AVENIDA,PEATON,MASCULINO,57.0
2016-08-25,2016,8,25,09:30:00,15,AUTOPISTA,MOTO,MASCULINO,27.0
2016-08-27,2016,8,27,04:40:00,1,AUTOPISTA,MOTO,MASCULINO,24.0
2016-08-27,2016,8,27,16:45:00,9,AVENIDA,PEATON,FEMENINO,60.0
2016-08-31,2016,8,31,11:20:00,14,CALLE,BICICLETA,FEMENINO,55.0
2016-09-02,2016,9,2,11:50:00,12,CALLE,,MASCULINO,42.16716867469879
2016-09-02,2016,9,2,20:20:00,8,AVENIDA,MOTO,MASCULINO,30.0
2016-09-03,2016,9,3,15:30:00,14,AVENIDA,AUTO,MASCULINO,43.0
2016-09-04,2016,9,4,03:30:00,1,AUTOPISTA,AUTO,MASCULINO,27.0
2016-09-04,2016,9,4,06:40:00,12,AVENIDA,,FEMENINO,42.16716867469879
2016-09-13,2016,9,13,07:10:00,9,AVENIDA,BICICLETA,MASCULINO,49.0
2016-09-14,2016,9,14,09:00:00,7,AVENIDA,MOTO,FEMENINO,58.0
2016-09-16,2016,9,16,15:24:00,7,AVENIDA,PEATON,MASCULINO,67.0
2016-09-17,2016,9,17,12:14:00,10,AUTOPISTA,MOTO,MASCULINO,30.0
2016-09-18,2016,9,18,22:45:00,10,CALLE,AUTO,MASCULINO,37.0
2016-09-18,2016,9,18,22:45:00,10,CALLE,AUTO,MASCULINO,60.0
2016-09-24,2016,9,24,10:25:00,8,AVENIDA,PEATON,MASCULINO,50.0
2016-10-02,2016,10,2,11:30:00,5,AVENIDA,PEATON,FEMENINO,81.0
2016-10-04,2016,10,4,12:30:00,1,AUTOPISTA,MOTO,MASCULINO,29.0
2016-10-09,2016,10,9,19:13:00,4,CALLE,PEATON,MASCULINO,35.0
2016-10-10,2016,10,10,02:30:00,3,AVENIDA,AUTO,MASCULINO,30.0
2016-10-14,2016,10,14,00:05:00,14,AVENIDA,MOTO,MASCULINO,41.0
2016-10-23,2016,10,23,05:00:00,8,AVENIDA,MOTO,MASCULINO,25.0
2016-10-24,2016,10,24,05:00:00,14,AVENIDA,PEATON,MASCULINO,29.0
2016-10-25,2016,10,25,00:00:00,4,AUTOPISTA,MOTO,,42.16716867469879
2016-10-25,2016,10,25,00:39:00,11,AVENIDA,MOTO,MASCULINO,30.0
2016-10-27,2016,10,27,20:30:00,13,AVENIDA,BICICLETA,FEMENINO,33.0
2016-10-28,2016,10,28,23:00:00,14,AVENIDA,MOTO,FEMENINO,35.0
2016-10-31,2016,10,31,02:58:00,13,AVENIDA,PASAJEROS,MASCULINO,20.0
2016-11-05,2016,11,5,23:30:00,1,AVENIDA,MOTO,MASCULINO,46.0
2016-11-06,2016,11,6,04:41:00,8,AVENIDA,MOTO,MASCULINO,35.0
2016-11-07,2016,11,7,12:10:00,4,AVENIDA,PEATON,MASCULINO,83.0
2016-11-07,2016,11,7,20:56:00,13,AVENIDA,MOTO,MASCULINO,39.0
2016-11-09,2016,11,9,20:00:00,4,AVENIDA,PEATON,FEMENINO,29.0
2016-11-16,2016,11,16,21:15:00,1,AVENIDA,MOVIL,MASCULINO,55.0
2016-11-16,2016,11,16,22:20:00,15,AVENIDA,MOTO,MASCULINO,42.16716867469879
2016-11-18,2016,11,18,18:20:00,4,AVENIDA,CARGAS,MASCULINO,41.0
2016-11-18,2016,11,18,20:35:00,0,CALLE,PEATON,,42.16716867469879
2016-11-23,2016,11,23,21:10:00,7,AVENIDA,MOTO,MASCULINO,42.0
2016-11-25,2016,11,25,15:42:00,15,AVENIDA,PEATON,FEMENINO,83.0
2016-11-26,2016,11,26,14:14:00,8,GRAL PAZ,MOTO,MASCULINO,38.0
2016-11-26,2016,11,26,16:50:00,10,CALLE,PEATON,FEMENINO,29.0
2016-11-26,2016,11,26,19:40:00,3,AVENIDA,MOTO,MASCULINO,23.0
2016-12-03,2016,12,3,06:40:00,11,AVENIDA,MOTO,MASCULINO,23.0
2016-12-04,2016,12,4,07:21:00,8,AVENIDA,AUTO,MASCULINO,23.0
2016-12-06,2016,12,6,05:30:00,9,AUTOPISTA,CARGAS,MASCULINO,29.0
2016-12-06,2016,12,6,07:22:00,14,AVENIDA,PEATON,MASCULINO,50.0
2016-12-07,2016,12,7,05:00:00,15,AVENIDA,PEATON,MASCULINO,38.0
2016-12-10,2016,12,10,07:30:00,11,GRAL PAZ,MOTO,MASCULINO,23.0
2016-12-11,2016,12,11,06:16:00,4,AVENIDA,AUTO,MASCULINO,29.0
2016-12-12,2016,12,12,08:25:00,4,AVENIDA,BICICLETA,MASCULINO,37.0
2016-12-13,2016,12,13,10:40:00,4,AVENIDA,MOTO,MASCULINO,43.0
2016-12-15,2016,12,15,15:30:00,12,AVENIDA,MOTO,MASCULINO,24.0
2016-12-19,2016,12,19,17:10:00,12,GRAL PAZ,MOTO,MASCULINO,21.0
2016-12-25,2016,12,25,19:00:00,1,AUTOPISTA,MOTO,,42.16716867469879
2016-12-26,2016,12,26,08:00:00,5,AVENIDA,MOTO,MASCULINO,38.0
2016-12-26,2016,12,26,19:52:00,7,AVENIDA,MOTO,MASCULINO,35.0
2016-12-27,2016,12,27,00:00:00,0,AUTOPISTA,,,42.16716867469879
2016-12-27,2016,12,27,08:15:00,7,CALLE,PEATON,FEMENINO,42.16716867469879
